00:10:01      3305944  12974668     79.69    324116   4646748   5823180     21.76
00:20:01      3285344  12995268     79.82    324868   4654164   5619820     21.00
00:30:01      3293540  12987072     79.77    325500   4674420   5477148     20.46
00:40:01      3220944  13059668     80.22    326108   4703472   5466092     20.42
00:50:01      3151548  13129064     80.64    326660   4716160   5493436     20.52
01:00:01      3090040  13190572     81.02    327404   4739264   5499976     20.55
01:10:01      3037040  13243572     81.35    328100   4824536   5433512     20.30
01:20:01      2901748  13378864     82.18    328644   4839920   5556492     20.76
01:30:01      4384872  11895740     73.07    329256   4852504   3381496     12.63
01:40:01      4349984  11930628     73.28    329764   4873240   3372908     12.60
01:50:01      4367228  11913384     73.18    330476   4893760   3281640     12.26
02:00:01      4274996  12005616     73.74    331204   4913348   3354728     12.53
02:10:01      4206620  12073992     74.16    331716   4943972   3359528     12.55
02:20:01      4229624  12050988     74.02    332516   4966028   3264740     12.20
02:30:01      3737672  12542940     77.04    333292   4986968   3884928     14.51
02:40:01      4088452  12192160     74.89    334056   5009556   3302872     12.34
02:50:01      3893688  12386924     76.08    335744   5034388   3510368     13.11
03:00:01      3919096  12361516     75.93    336428   5055276   3381928     12.63
03:10:01      3210320  13070292     80.28    428460   5582384   3442940     12.86
03:20:01      3144908  13135704     80.68    428940   5608828   3456704     12.91
03:30:01      2251256  14029356     86.17    433332   5631740   6524328     24.38
03:40:01      3051460  13229152     81.26    433912   5662252   3418468     12.77
03:50:01      3056452  13224160     81.23    434612   5696908   3305592     12.35
04:00:02      2837452  13443160     82.57    435212   5726332   3509624     13.11
04:10:01      2863448  13417164     82.41    435796   5757376   3384860     12.65
04:20:01      2710264  13570348     83.35    436328   5787308   3496416     13.06
04:30:01      2668756  13611856     83.61    436800   5818812   3483160     13.01
04:40:01      2696344  13584268     83.44    437300   5836048   3361472     12.56
04:50:01      2504176  13776436     84.62    437956   5863880   3551260     13.27
05:00:01      2517576  13763036     84.54    438248   5891076   3444212     12.87
05:10:01      2683108  13597504     83.52    438768   5726604   3370456     12.59
05:20:01      2461084  13819528     84.88    439244   5758184   3581380     13.38
05:30:02      2440812  13839800     85.01    439592   5786616   3522880     13.16
05:40:01      2317328  13963284     85.77    440320   5821648   3577756     13.37
05:50:01      2404640  13875972     85.23    440812   5849328   3391296     12.67
06:00:01      2047464  14233148     87.42    441572   5881156   3828052     14.30
06:10:01      1121868  15158744     93.11    430548   5418780   6159028     23.01
06:20:01       906888  15373724     94.43    431384   5465052   6168364     23.05
06:30:01       964520  15316092     94.08    432024   5512828   5847364     21.85
06:40:01      1181120  15099492     92.75    432780   5559512   5446680     20.35
06:50:01      1216780  15063832     92.53    433828   5608864   5344212     19.97
07:00:01      1379684  14900928     91.53    421832   5517416   5560204     20.77
07:10:01      1506880  14773732     90.74    422864   5561208   5291044     19.77
07:20:01      4895488  11385124     69.93    422504   4021112   3377780     12.62
07:30:01      4493504  11787108     72.40    423208   4055048   3858932     14.42
07:40:01      4618040  11662572     71.63    423804   4091956   3579720     13.37
07:50:01      4699080  11581532     71.14    424944   4129600   3373148     12.60
08:00:01      3701800  12578812     77.26    425744   4167048   4714632     17.61
08:10:01      4453460  11827152     72.65    426828   4203804   3534932     13.21
08:20:01      4450464  11830148     72.66    427444   4232248   3442480     12.86
08:30:01      4114504  12166108     74.73    428376   4265972   3823864     14.29
08:40:01      4051716  12228896     75.11    428904   4299688   3807172     14.22
08:50:01      3941356  12339256     75.79    429632   4334056   3857884     14.41
09:00:01      4121436  12159176     74.69    430288   4370076   3475852     12.99
09:10:01      3337400  12943212     79.50    431112   4405572   4517128     16.88
09:20:01      3945580  12335032     75.77    431664   4440760   3517372     13.14
09:30:01      3861084  12419528     76.28    432656   4480596   3528348     13.18
09:40:01      2988160  13292452     81.65    433392   4524016   4691072     17.53
09:50:01      3721880  12558732     77.14    434084   4559596   3514700     13.13
10:00:01      3257672  13022940     79.99    435060   4594888   4103660     15.33
10:10:01      3545704  12734908     78.22    435844   4626900   3596268     13.44
10:20:01      3461188  12819424     78.74    436460   4665356   3584640     13.39
10:30:01      2965644  13314968     81.78    437208   4704104   4207644     15.72
10:40:01      3345896  12934716     79.45    437836   4732920   3547916     13.26
10:50:01      3265752  13014860     79.94    438628   4771532   3553796     13.28
11:00:01      2617348  13663264     83.92    439180   4801892   4426208     16.54
11:10:01      3100588  13180024     80.96    440248   4839000   3568908     13.33
11:20:01      3104960  13175652     80.93    440712   4873076   3477516     12.99
11:30:01      1867068  14413544     88.53    441184   4905444   5426860     20.27
11:40:01       298580  15982032     98.17    459832   4598428   9056240     33.83
11:50:01       310812  15969800     98.09    454624   4538232   9223564     34.46
12:00:01       331964  15948648     97.96    453740   4485256   9349504     34.93
12:10:01       673160  15607452     95.87    400444   3703828  11380276     42.52
12:20:01       354952  15925660     97.82    401180   3724712  11513468     43.01
12:30:02       943128  15337484     94.21    402020   3752904  10894844     40.70
12:40:01       687432  15593180     95.78    402840   3775204  11085648     41.42
12:50:01       479252  15801360     97.06    403600   3794132  11270316     42.11
13:00:01       356260  15924352     97.81    404344   3808764  11375192     42.50
13:10:01      3825728  12454884     76.50    404760   3805652   6375008     23.82
13:20:01      2047972  14232640     87.42    405560   3828600   8930884     33.37
13:30:01      1660240  14620372     89.80    407332   3982552   9130828     34.11
13:40:01      1475844  14804768     90.93    408552   3992840   9297268     34.73
13:50:01      3180448  13100164     80.46    409596   4025144   6647460     24.84
14:00:01      5199412  11081200     68.06    410788   4087328   3560312     13.30
14:10:01      3530200  12750412     78.32    412208   4695548   4609200     17.22
